Units,Weight ,Value,Country Name,Description,Commodity Code
99,35,1989,KUWAIT,HORSES FOR SPORT,01012910
122,37,1111,UNITED ARAB EMIRATES,HORSES FOR SPORT,01012910
318,132,4721,U.S.A,HORSES FOR SPORT,01012910
148,72,3490,GERMANY,HORSES FOR SPORT,01012910
141,40,2716,NETHERLANDS,HORSES FOR SPORT,01012910
135,62,2505,UNITED KINGDOM,HORSES FOR SPORT,01012910
363,106,3110,Other Countries,HORSES FOR SPORT,01012910
2169,320,2665,UNITED ARAB EMIRATES,OTHER BUFFALO ANIMALS,01023900
21030,4416,29866,DJIBOUTI,OTHER BUFFALO ANIMALS,01023900
19190,5074,25318,SOMALIA,OTHER BUFFALO ANIMALS,01023900
776,201,1718,Other Countries,OTHER BUFFALO ANIMALS,01023900
244447,10031,171018,JORDAN,OTHER SHEEP,01041090
85298,3074,29615,GEORGIA,OTHER SHEEP,01041090
4519076,114158,1496836,SUDAN,OTHER SHEEP,01041090
71480,1793,12306,DJIBOUTI,OTHER SHEEP,01041090
1405293,35583,506281,SOMALIA,OTHER SHEEP,01041090
772,27,651,Other Countries,OTHER SHEEP,01041090
3746,100,1918,JORDAN,OTHER GOATS,01042090
318887,6162,91610,SUDAN,OTHER GOATS,01042090
59612,1496,10525,DJIBOUTI,OTHER GOATS,01042090
1398279,35233,502706,SOMALIA,OTHER GOATS,01042090
755,18,360,Other Countries,OTHER GOATS,01042090
0,46,2339,JORDAN,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
0,3,1888,U.S.A,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
119025,6,2455,GERMANY,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
27774,13,5426,NETHERLANDS,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
182574,93,46026,UNITED KINGDOM,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
0,3,412,Other Countries,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
0,33,1813,JORDAN,Other Fowls of the species Gallus domesticus,01059490
0,8,8520,U.S.A,Other Fowls of the species Gallus domesticus,01059490
0,7,5090,NETHERLANDS,Other Fowls of the species Gallus domesticus,01059490
0,63,30913,UNITED KINGDOM,Other Fowls of the species Gallus domesticus,01059490
0,20,4583,FRANCE,Other Fowls of the species Gallus domesticus,01059490
0,11,2565,Other Countries,Other Fowls of the species Gallus domesticus,01059490
1450,223,2742,KUWAIT,Camels for sport and beauty contests,01061320
19649,2033,20271,QATAR,Camels for sport and beauty contests,01061320
1520,428,2203,UNITED ARAB EMIRATES,Camels for sport and beauty contests,01061320
20744,4364,152808,SUDAN,Other of camels,01061390
1880,752,3392,DJIBOUTI,Other of camels,01061390
62451,18026,109044,SOMALIA,Other of camels,01061390
0,1043,45070,EGYPT,BEES,01064100
0,12,406,Other Countries,BEES,01064100
0,2232,31421,PAKISTAN,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
0,88,1880,INDIA,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
0,117,4308,AUSTRALIA,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
0,201,7399,CANADA,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
0,97,2147,Other Countries,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
0,5971,95642,PAKISTAN,OTHER CUTS WITH BONE IN OF FRESH BOVINE ANIMALS,02012000
0,301,6172,INDIA,OTHER CUTS WITH BONE IN OF FRESH BOVINE ANIMALS,02012000
0,243,9729,AUSTRALIA,OTHER CUTS WITH BONE IN OF FRESH BOVINE ANIMALS,02012000
0,60,1713,NEW ZEALAND,OTHER CUTS WITH BONE IN OF FRESH BOVINE ANIMALS,02012000
0,45,1400,Other Countries,OTHER CUTS WITH BONE IN OF FRESH BOVINE ANIMALS,02012000
0,261,4116,PAKISTAN,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,3541,71438,INDIA,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,3253,93456,AUSTRALIA,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,732,22001,NEW ZEALAND,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,80,6849,CANADA,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,8539,151307,BRAZIL,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,37,2197,NETHERLANDS,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,83,1633,Other Countries,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
0,1156,14200,INDIA,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
0,963,32739,AUSTRALIA,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
0,410,12622,CANADA,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
0,787,16391,BRAZIL,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
0,482,7064,NETHERLANDS,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
0,108,753,Other Countries,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
0,4508,55951,INDIA,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,938,22645,AUSTRALIA,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,420,4258,NEW ZEALAND,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,149,8394,CANADA,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,798,12287,BRAZIL,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,188,6020,NETHERLANDS,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,71,1066,Other Countries,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
0,233,2088,INDIA,MINCED MEAT OF BOVINE ANIMALS,02023010
0,168,3486,AUSTRALIA,MINCED MEAT OF BOVINE ANIMALS,02023010
0,248,8486,CANADA,MINCED MEAT OF BOVINE ANIMALS,02023010
0,14,150,Other Countries,MINCED MEAT OF BOVINE ANIMALS,02023010
0,54,1149,JORDAN,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
0,813,6364,UNITED ARAB EMIRATES,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
0,34886,422120,INDIA,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
0,6414,108723,AUSTRALIA,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
0,464,10336,NEW ZEALAND,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
0,261,10551,CANADA,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
0,13087,165579,BRAZIL,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
0,95,2321,ARGENTINA,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
0,213,2552,IRELAND,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
0,89,2485,NETHERLANDS,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
0,175,1900,Other Countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
0,3751,73421,PAKISTAN,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
0,2415,58769,INDIA,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
0,93,2306,SUDAN,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
0,1894,39934,ETHIOPIA,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
0,1035,29341,AUSTRALIA,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
0,68,1775,Other Countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
0,1703,39426,PAKISTAN,"CARCASSES AND HALF-CARCASSES OF SHEEP, FRESH",02042100
0,1547,40640,INDIA,"CARCASSES AND HALF-CARCASSES OF SHEEP, FRESH",02042100
0,416,12200,SUDAN,"CARCASSES AND HALF-CARCASSES OF SHEEP, FRESH",02042100
0,2457,53992,ETHIOPIA,"CARCASSES AND HALF-CARCASSES OF SHEEP, FRESH",02042100
0,360,9020,KENYA,"CARCASSES AND HALF-CARCASSES OF SHEEP, FRESH",02042100
0,1456,35943,AUSTRALIA,"CARCASSES AND HALF-CARCASSES OF SHEEP, FRESH",02042100
0,77,1600,Other Countries,"CARCASSES AND HALF-CARCASSES OF SHEEP, FRESH",02042100
0,1828,46060,AUSTRALIA,"OTHER CUTS WITH BONE IN OF SHEEP, FRESH",02042200
0,478,11170,NEW ZEALAND,"OTHER CUTS WITH BONE IN OF SHEEP, FRESH",02042200
0,2,44,Other Countries,"OTHER CUTS WITH BONE IN OF SHEEP, FRESH",02042200
0,252,4141,INDIA,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100
0,2858,36653,AUSTRALIA,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100
0,1940,26837,NEW ZEALAND,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100
0,82,1491,BRAZIL,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100
0,1,16,Other Countries,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100
0,1645,37898,INDIA,"OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",02044200
0,7587,107362,AUSTRALIA,"OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",02044200
0,4651,62351,NEW ZEALAND,"OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",02044200
0,101,1189,Other Countries,"OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",02044200
0,2155,29568,AUSTRALIA,"BONELESS SHEEP MEAT ,FROZEN",02044390
0,1996,30171,NEW ZEALAND,"BONELESS SHEEP MEAT ,FROZEN",02044390
0,54,782,Other Countries,"BONELESS SHEEP MEAT ,FROZEN",02044390
0,1682,37842,ETHIOPIA,FRESH OR CHILLED CARCASSES OF GOATS,02045011
0,507,12062,KENYA,FRESH OR CHILLED CARCASSES OF GOATS,02045011
0,17,441,Other Countries,FRESH OR CHILLED CARCASSES OF GOATS,02045011
0,6110,26027,AUSTRALIA,"LIVERS OF SHEEP AND GOATS, FROZEN",02069012
0,2001,8911,NEW ZEALAND,"LIVERS OF SHEEP AND GOATS, FROZEN",02069012
0,157,1385,U.S.A,"LIVERS OF SHEEP AND GOATS, FROZEN",02069012
0,0,4,Other Countries,"LIVERS OF SHEEP AND GOATS, FROZEN",02069012
0,1686,9866,AUSTRALIA,"OTHER OFFAL OF SHEEP AND GOATS, FROZEN",02069019
0,1133,6470,NEW ZEALAND,"OTHER OFFAL OF SHEEP AND GOATS, FROZEN",02069019
0,0,7,Other Countries,"OTHER OFFAL OF SHEEP AND GOATS, FROZEN",02069019
0,346,2110,U.S.A,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
0,509772,3084131,BRAZIL,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
0,4937,29722,ARGENTINA,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
0,120812,726976,FRANCE,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
0,338,2164,TURKEY,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
0,1003,5367,UKRAINE,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
0,132,1072,Other Countries,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
0,333,6593,JORDAN," Cuts and offal, frozen(chikens)",02071400
0,209,2904,KUWAIT," Cuts and offal, frozen(chikens)",02071400
0,11523,122178,UNITED ARAB EMIRATES," Cuts and offal, frozen(chikens)",02071400
0,11354,41914,U.S.A," Cuts and offal, frozen(chikens)",02071400
0,196829,1378210,BRAZIL," Cuts and offal, frozen(chikens)",02071400
0,1483,9499,FRANCE," Cuts and offal, frozen(chikens)",02071400
0,803,9479,TURKEY," Cuts and offal, frozen(chikens)",02071400
0,202,1177,UKRAINE," Cuts and offal, frozen(chikens)",02071400
0,331,2054,Other Countries," Cuts and offal, frozen(chikens)",02071400
0,4006,37484,BRAZIL,"FROZEN PARTS, BOWELS AND EXTREMITIES OF TURKEY.",02072700
0,99,1227,FRANCE,"FROZEN PARTS, BOWELS AND EXTREMITIES OF TURKEY.",02072700
0,713,9509,TURKEY,"FROZEN PARTS, BOWELS AND EXTREMITIES OF TURKEY.",02072700
0,92,795,Other Countries,"FROZEN PARTS, BOWELS AND EXTREMITIES OF TURKEY.",02072700
0,49285,281065,BRAZIL,OFFAL OF FROZEN TURKEYS,02074200
0,72,1106,Other Countries,OFFAL OF FROZEN TURKEYS,02074200
0,1344,47194,NORWAY,"PACIFIC SALMON, FRESH",03021300
0,23,567,Other Countries,"PACIFIC SALMON, FRESH",03021300
0,598,16366,NORWAY,OTHER FRESH SALMONIDAE,03021400
0,39,1199,UNITED KINGDOM,OTHER FRESH SALMONIDAE,03021400
0,23,493,Other Countries,OTHER FRESH SALMONIDAE,03021400
0,5099,36063,REPUBLIC OF YEMEN,OTHER FRESH SALMONIDAE,03021900
0,21524,65669,SULTANATE OF OMAN,OTHER FRESH SALMONIDAE,03021900
0,73,1095,PAKISTAN,OTHER FRESH SALMONIDAE,03021900
0,405,8346,INDIA,OTHER FRESH SALMONIDAE,03021900
0,286,5522,SRI LANKA,OTHER FRESH SALMONIDAE,03021900
0,248,3838,INDONESIA,OTHER FRESH SALMONIDAE,03021900
0,730,10690,EGYPT,OTHER FRESH SALMONIDAE,03021900
0,76,1086,SUDAN,OTHER FRESH SALMONIDAE,03021900
0,70,2627,NORWAY,OTHER FRESH SALMONIDAE,03021900
0,125,873,Other Countries,OTHER FRESH SALMONIDAE,03021900
0,1176,8502,REPUBLIC OF YEMEN,KINGFISH (DARAK),03024410
0,715,9132,PAKISTAN,KINGFISH (DARAK),03024410
0,1243,19930,INDIA,KINGFISH (DARAK),03024410
0,274,4438,SRI LANKA,KINGFISH (DARAK),03024410
0,667,11307,INDONESIA,KINGFISH (DARAK),03024410
0,30,397,Other Countries,KINGFISH (DARAK),03024410
0,10194,60756,EGYPT,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03027100
0,24,111,Other Countries,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03027100
0,10153,77029,EGYPT,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03027900
0,69,1362,Other Countries,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03027900
0,1501,10946,REPUBLIC OF YEMEN,BREAM (KASHIR),03028910
0,1139,16506,PAKISTAN,BREAM (KASHIR),03028910
0,1721,27895,INDIA,BREAM (KASHIR),03028910
0,235,4170,SRI LANKA,BREAM (KASHIR),03028910
0,192,3189,INDONESIA,BREAM (KASHIR),03028910
0,1117,16974,EGYPT,BREAM (KASHIR),03028910
0,239,3624,SUDAN,BREAM (KASHIR),03028910
0,10,245,Other Countries,BREAM (KASHIR),03028910
0,1526,10986,REPUBLIC OF YEMEN,"Emperors (Lethrinus ,Monotaxis )",03028920
0,352,6924,INDIA,"Emperors (Lethrinus ,Monotaxis )",03028920
0,235,4567,SRI LANKA,"Emperors (Lethrinus ,Monotaxis )",03028920
0,157,2117,EGYPT,"Emperors (Lethrinus ,Monotaxis )",03028920
0,60,877,Other Countries,"Emperors (Lethrinus ,Monotaxis )",03028920
0,3813,32512,EGYPT,"FISH BOORI LIKE (HAYIB,DEEM) (3)",03028950
0,17,292,Other Countries,"FISH BOORI LIKE (HAYIB,DEEM) (3)",03028950
0,199,1225,BANGLADESH,OTHER SALMON (FROZEN),03031900
0,1491,7574,MYANMAR,OTHER SALMON (FROZEN),03031900
0,216,1156,THAILAND,OTHER SALMON (FROZEN),03031900
0,268,1545,VIETNAM,OTHER SALMON (FROZEN),03031900
0,286,2289,TAIWAN,OTHER SALMON (FROZEN),03031900
0,228,2741,Other Countries,OTHER SALMON (FROZEN),03031900
0,597,3299,PAKISTAN,TILAPIA FROZEN,03032300
0,846,9262,BANGLADESH,TILAPIA FROZEN,03032300
0,567,4037,INDIA,TILAPIA FROZEN,03032300
0,4858,26340,MYANMAR,TILAPIA FROZEN,03032300
0,1141,5790,THAILAND,TILAPIA FROZEN,03032300
0,890,4378,VIETNAM,TILAPIA FROZEN,03032300
0,398,1699,CHINA,TILAPIA FROZEN,03032300
0,1963,11576,TAIWAN,TILAPIA FROZEN,03032300
0,270,1838,SOUTH KOREA,TILAPIA FROZEN,03032300
0,214,1225,Other Countries,TILAPIA FROZEN,03032300
0,601,3533,PAKISTAN,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03032400
0,386,3224,BANGLADESH,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03032400
0,7765,49312,MYANMAR,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03032400
0,611,2744,THAILAND,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03032400
0,1189,5705,VIETNAM,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03032400
0,316,1991,TAIWAN,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03032400
0,223,1215,Other Countries,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03032400
0,361,2266,PAKISTAN,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03032500
0,818,6278,BANGLADESH,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03032500
0,1753,11591,MYANMAR,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03032500
0,415,2500,Other Countries,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03032500
0,278,1306,VIETNAM,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03036900
0,1180,5954,TAIWAN,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03036900
0,481,2754,Other Countries,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03036900
0,64,2129,UNITED ARAB EMIRATES,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03038999
0,901,4586,BANGLADESH,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03038999
0,4355,26491,MYANMAR,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03038999
0,502,2337,THAILAND,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03038999
0,1417,10910,TAIWAN,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03038999
0,850,3994,Other Countries,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03038999
0,5070,22737,VIETNAM, Other slices of fish Groupers Or Emperors fresh or chilled,03043200
0,143,866,Other Countries, Other slices of fish Groupers Or Emperors fresh or chilled,03043200
0,4229,21336,VIETNAM," Other Slices  of Groupers Or Emperors, frozen",03046200
0,310,1792,TAIWAN," Other Slices  of Groupers Or Emperors, frozen",03046200
0,169,1618,Other Countries," Other Slices  of Groupers Or Emperors, frozen",03046200
0,300,6146,UNITED ARAB EMIRATES," Other Slices  of Groupers Or Emperors, frozen",03047900
0,310,1145,PAKISTAN," Other Slices  of Groupers Or Emperors, frozen",03047900
0,393,3142,BANGLADESH," Other Slices  of Groupers Or Emperors, frozen",03047900
0,985,5846,MYANMAR," Other Slices  of Groupers Or Emperors, frozen",03047900
0,2560,7466,VIETNAM," Other Slices  of Groupers Or Emperors, frozen",03047900
0,524,1500,TAIWAN," Other Slices  of Groupers Or Emperors, frozen",03047900
0,706,1866,Other Countries," Other Slices  of Groupers Or Emperors, frozen",03047900
0,96,2217,UNITED ARAB EMIRATES," Other Slices  of Groupers Or Emperors, frozen",03048100
0,256,2201,VIETNAM," Other Slices  of Groupers Or Emperors, frozen",03048100
0,295,5067,NORWAY," Other Slices  of Groupers Or Emperors, frozen",03048100
0,31,1067,UNITED KINGDOM," Other Slices  of Groupers Or Emperors, frozen",03048100
0,13,742,Other Countries," Other Slices  of Groupers Or Emperors, frozen",03048100
0,18188,97175,VIETNAM," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049300
0,149,1045,TANZANIA," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049300
0,282,1850,Other Countries," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049300
0,806,4783,BAHRAIN," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
0,122,1170,SULTANATE OF OMAN," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
0,1970,20939,UNITED ARAB EMIRATES," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
0,573,4259,MYANMAR," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
0,305,1988,THAILAND," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
0,2760,14382,VIETNAM," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
0,495,3797,TAIWAN," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
0,80,1678,TANZANIA," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
0,130,2664,U.S.A," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
0,48,1278,NORWAY," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
0,125,2711,Other Countries," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
0,82,1048,TAIWAN,"PACIFIC SALMON, SMOKED",03054100
0,383,14346,NORWAY,"PACIFIC SALMON, SMOKED",03054100
0,21,1299,UNITED KINGDOM,"PACIFIC SALMON, SMOKED",03054100
0,41,2516,Other Countries,"PACIFIC SALMON, SMOKED",03054100
0,4048,62528,UNITED ARAB EMIRATES,"SHRIMPS AND PRAWNS, FROZEN",03061600
0,99,2128,INDIA,"SHRIMPS AND PRAWNS, FROZEN",03061600
0,295,6510,VIETNAM,"SHRIMPS AND PRAWNS, FROZEN",03061600
0,46,1844,ECUADOR,"SHRIMPS AND PRAWNS, FROZEN",03061600
0,71,1798,Other Countries,"SHRIMPS AND PRAWNS, FROZEN",03061600
0,804,31526,BAHRAIN,"SHRIMPS AND PRAWNS, FROZEN",03061700
0,2084,44983,UNITED ARAB EMIRATES,"SHRIMPS AND PRAWNS, FROZEN",03061700
0,2718,69451,INDIA,"SHRIMPS AND PRAWNS, FROZEN",03061700
0,133,3544,SRI LANKA,"SHRIMPS AND PRAWNS, FROZEN",03061700
0,628,20894,VIETNAM,"SHRIMPS AND PRAWNS, FROZEN",03061700
0,477,12296,CHINA,"SHRIMPS AND PRAWNS, FROZEN",03061700
0,143,7965,ECUADOR,"SHRIMPS AND PRAWNS, FROZEN",03061700
0,129,2408,Other Countries,"SHRIMPS AND PRAWNS, FROZEN",03061700
0,299,2189,UNITED ARAB EMIRATES,OTHER CUTTLE FISH,03074900
0,801,6784,CHINA,OTHER CUTTLE FISH,03074900
0,189,1045,TAIWAN,OTHER CUTTLE FISH,03074900
0,201,2291,Other Countries,OTHER CUTTLE FISH,03074900
0,154,1393,NEW ZEALAND,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
0,15233,136579,GERMANY,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
0,3005,19039,NETHERLANDS,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
0,350,1109,UKRAINE,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
0,504,2418,Other Countries,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
0,119,1305,SULTANATE OF OMAN,LONG LIFE MILK IN REFILLS MORE THAN ONE LITER(FAT1- 6%UNSWEETENED,04012030
0,4213,36712,NEW ZEALAND,LONG LIFE MILK IN REFILLS MORE THAN ONE LITER(FAT1- 6%UNSWEETENED,04012030
0,292,1340,Other Countries,LONG LIFE MILK IN REFILLS MORE THAN ONE LITER(FAT1- 6%UNSWEETENED,04012030
0,1936,16354,NETHERLANDS,OTHER MILK AND CREAM FAT MORE THAN 6%.,04014090
0,96,1100,Other Countries,OTHER MILK AND CREAM FAT MORE THAN 6%.,04014090
0,199,2226,NEW ZEALAND,OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
0,318,3598,NETHERLANDS,OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
0,152,1573,FRANCE,OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
0,877,2891,Other Countries,OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
0,76,1480,JORDAN,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,734,17226,SULTANATE OF OMAN,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,443,3641,MALAYSIA,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,1087,8285,SINGAPORE,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,1555,13527,AUSTRALIA,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,25734,230421,NEW ZEALAND,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,594,2871,U.S.A,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,151,1254,URUGUAY,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,894,5690,IRELAND,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,434,2970,FINLAND,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,449,3255,SWEDEN,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,5199,69189,DENMARK,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,304,1519,SWITZERLAND,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,4889,32806,GERMANY,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,1579,11570,NETHERLANDS,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,1472,13638,BELGIUM,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,301,2092,UNITED KINGDOM,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,2198,16699,FRANCE,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,814,5555,POLAND,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,562,3895,Other Countries,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
0,2055,5350,KUWAIT,OTHER LOW FAT SOLID MILK,04021090
0,1244,9397,UNITED ARAB EMIRATES,OTHER LOW FAT SOLID MILK,04021090
0,118,1458,MALAYSIA,OTHER LOW FAT SOLID MILK,04021090
0,704,5703,AUSTRALIA,OTHER LOW FAT SOLID MILK,04021090
0,1316,11572,NEW ZEALAND,OTHER LOW FAT SOLID MILK,04021090
0,685,4733,U.S.A,OTHER LOW FAT SOLID MILK,04021090
0,1933,18359,DENMARK,OTHER LOW FAT SOLID MILK,04021090
